epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,2.024417,0.276969,1.443274,0.501272,0.442293,0.00098296,57.531
2,1.608097,0.414393,1.256926,0.55598,0.508519,0.00093301,18.104
3,1.45539,0.474198,1.12819,0.599237,0.573448,0.00085355,17.907
4,1.353601,0.514774,1.014759,0.647583,0.62864,0.00075,17.822
5,1.265981,0.552948,0.933953,0.687023,0.659349,0.00062941,19.745
6,1.194749,0.578962,0.870853,0.721374,0.690366,0.0005,19.606
7,1.142667,0.602997,0.820113,0.727735,0.707043,0.00037059,19.053
8,1.096642,0.613035,0.799247,0.736641,0.717704,0.00025,19.023
9,1.058831,0.633112,0.7295,0.78117,0.759669,0.00014645,18.934
10,1.03137,0.640181,0.719992,0.773537,0.748659,6.699e-05,19.062
11,1.018526,0.645554,0.696228,0.772265,0.751264,1.704e-05,18.584
12,1.014685,0.645695,0.730312,0.760814,0.733085,0.0,19.191
