epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,time_s
1,2.062662,0.241676,1.708853,0.383721,0.355956,0.00098296,18.478
2,1.76304,0.346728,1.521098,0.439276,0.389574,0.00093301,18.655
3,1.629377,0.394231,1.408665,0.48062,0.44195,0.00085355,18.591
4,1.546885,0.430253,1.308325,0.516796,0.486033,0.00075,18.9
5,1.470937,0.45709,1.239497,0.54522,0.527045,0.00062941,18.631
6,1.429518,0.477325,1.186605,0.572351,0.571381,0.0005,18.563
7,1.377523,0.492394,1.133771,0.580103,0.550381,0.00037059,18.525
8,1.348834,0.504879,1.127605,0.600775,0.579061,0.00025,18.668
9,1.316452,0.527411,1.066545,0.614987,0.592496,0.00014645,18.527
10,1.308307,0.524397,1.086393,0.598191,0.600576,6.699e-05,18.682
11,1.277304,0.533869,1.062526,0.629199,0.614192,1.704e-05,18.541
12,1.294153,0.525689,1.045507,0.638243,0.629212,0.0,18.703
